company,country
SpaceX,USA
Jet Propulsion Laboratory,USA
Armstrong Flight Research Center,USA
Federal Aviation Administration,USA
NASA,USA
Naked Science,USA
Starlink,USA
Safran,USA
Kennedy Space Center,USA
SpaceNews,USA
Blue Origin,USA
United Launch Alliance, USA
Marshall Space Flight Center,USA
Virgin Galactic,USA
Rocket Lab,USA
Leonardo,Italy
Italian Space Agency,Italy
ESA,France
Guiana Space Center,France
Space Research Center,India
Roscosmos,Russia
UK space agency,UK
Meggitt PLC,UK
ClearSpace, Switzerland
Japan Aerospace Exploration Agency, Japan
